OTU	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
Propionibacterium	0.0	0.000110392	9.05e-06	0.0	0.0	1.92e-05	0.002209444	2.59e-06	0.0	0.0	0.0	6.759999999999999e-05	0.000120308	0.0	0.0	0.0	0.000109926	0.0	0.000526177	0.0	7.12e-06	0.0	2.26e-05	0.0	0.0	0.001194677	5.5e-05	0.0	7.4999999999999985e-06	0.00013832299999999998	0.0	0.000104071	0.0	6.96e-05	4.17e-05	3.74e-06	0.001946678	0.0	0.000407171	0.0005924169999999999	0.0	0.0	0.000102642	2.77e-05	3.43e-05	0.000137426	1.27e-05	0.0	0.0	0.0	9.97e-05	0.00014232	2.24e-05	0.0	4.91e-06	2.34e-05	3.67e-06	0.0	0.0	0.00027047400000000004	0.0	0.0	0.0	0.0	4.22e-05
Other genus (family Bifidobacteriaceae)	0.0	0.005004415999999999	1.21e-05	0.0008895519999999998	6.13e-05	2.46e-05	1.42e-05	0.007458376999999999	0.003055341	0.004708098	1.98e-05	1.13e-05	0.004692012	0.000251811	0.000521506	0.000140631	0.002528306	0.015487407	8.77e-05	0.0	1.42e-05	0.0	1.5e-05	0.000257325	0.009337299	9.19e-06	0.11157146	2.09e-05	0.0	0.047331772	2.88e-05	1.73e-05	0.005800113000000001	0.009258411	0.001410531	0.0	0.011426153	0.001098063	0.017967245	0.000148104	1.63e-05	0.000137336	1.47e-05	2.77e-05	0.001125207	0.0	0.000140008	0.004408051	0.00298584	0.001331974	0.0	0.0	8.98e-06	0.017059728	0.000260005	0.0	0.004427698	0.000862602	2.07e-05	1.27e-05	0.001839853	0.000968839	0.0	1.14e-05	0.005411229
Unknown genus (family Bifidobacteriaceae)	0.0	0.000367972	0.0	0.000112472	0.0	0.0	1.42e-05	0.00109027	0.000359902	0.000652461	0.0	0.0	0.000372955	3.3600000000000004e-05	0.0	0.0	2.2e-05	0.00015395	0.0	0.0	0.0	0.0	0.0	2.0600000000000006e-05	0.000103892	0.0	0.0005499740000000001	0.0	0.0	0.00030494	0.0	0.0	0.000569931	6.96e-05	0.000225351	0.0	0.001692763	8.8e-05	0.000142187	0.0	8.14e-06	0.0	0.0	0.0	2.0600000000000006e-05	4.58e-05	0.0	0.000298053	0.000367659	0.000126714	0.0	0.0	0.0	0.001743467	1.47e-05	0.0	0.000476491	0.000113929	0.0	0.0	0.000186652	9.32e-05	0.0	2.85e-06	3.78e-05
Bifidobacterium	0.000541506	0.529732117	0.000226317	0.060407763	8.290000000000001e-05	0.00016418900000000002	0.000750644	0.423224039	0.155539049	0.26240046300000003	0.0003267	0.065656509	0.747810395	0.007613084	0.000248336	0.000731282	0.000329779	0.000307901	0.004297115	6.29e-05	9.62e-05	4.59e-05	0.001655069	0.013826094	0.000428555	7.35e-05	0.0013566029999999998	0.000205194	0.000187457	0.007350006	0.000172781	0.000190797	0.491726309	0.000348061	0.277532488	0.00017182400000000005	0.865848498	0.045453953	0.390186523	0.004443128	0.000203378	0.009778339	8.43e-05	0.002955328	0.010408162	0.0017865320000000004	0.000369112	0.51903619	0.204485444	0.07943514900000001	0.000345206	0.000227713	7.63e-05	0.541705723	0.043401262	2.34e-05	0.320040465	0.18653364100000006	0.000227794	0.000173272	0.2499381	0.088925117	0.000142356	0.000193573	0.00078414
Gardnerella	0.0	3.68e-05	0.0	0.0	0.0	0.0	0.0	6.73e-05	3.06e-05	3.71e-05	6.6e-06	0.0	2.4100000000000006e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43e-06	0.0	0.0	1.3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.26e-05	0.0	4.17e-05	0.0	8.46e-05	9.12e-05	0.0	0.0	8.14e-06	0.0	0.0	0.0	0.0	0.0	0.0	7.840000000000001e-05	0.000141122	2.0600000000000006e-05	0.0	0.0	0.0	3.75e-05	3.43e-05	0.0	0.0003335430000000001	1.63e-05	5.18e-06	0.0	8.759999999999999e-05	3.11e-05	0.0	0.0	0.0
Other genus (family Coriobacteriaceae)	0.0	0.000110392	0.0	0.0	0.0	1.64e-05	0.0	0.0	3.83e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14e-06	0.0	0.0	5.4299999999999985e-05	0.0	0.0	0.0	0.0	0.000143367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.840000000000001e-05	5.94e-05	4.42e-05	0.0	0.0	0.0	8.75e-05	0.0	0.0	0.000502148	0.0	0.0	0.0	9.9e-05	4.35e-05	0.0	0.0	0.0
Unknown genus (family Coriobacteriaceae)	0.000974712	0.113592876	5.73e-05	0.0004703380000000001	1.44e-05	0.056702752	0.000155794	0.002188308	0.10686035	0.000244673	0.0001254	0.000309807	0.0013113570000000002	1.6800000000000002e-05	0.008195093	0.000140631	2.2e-05	0.0006773819999999999	0.000613874	7.86e-06	0.000306277	1.58e-05	0.001135979	0.000849174	7.79e-05	0.000119468	0.000164992	8.38e-06	4.5e-05	0.002643864	0.000374359	3.47e-05	0.031768802	5.5e-05	0.005458506	8.22e-05	0.000507829	0.07414370599999999	5.17e-05	0.0006664689999999999	8.14e-06	0.000137336	0.000102642	0.0	0.004233247	0.0	0.000140008	0.107738403	0.06391702	0.195770688	9.97e-05	0.000113856	2.69e-05	0.325072176	2.45e-05	4.68e-05	0.022757928	0.001302041	0.000750685	0.000160594	0.04443454	0.014467372	0.0	5.98e-05	4.44e-06
Adlercreutzia	0.0	0.008389756	6.04e-06	0.0	0.0	0.0	0.0	8.290000000000001e-05	0.0	0.0	6.6e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.51e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000138761	0.006397184	0.0	0.0	3.74e-06	8.46e-05	0.0	1.29e-05	0.0007405210000000001	0.0	2.75e-05	0.0	0.0	0.0	0.0	0.0	0.007121904	0.0034760520000000003	2.95e-06	0.0	0.0	0.0	0.0	8.340000000000001e-05	0.0	0.007994048	0.0	0.0	0.0	0.004216806	0.0	0.0	0.0	0.0
Atopobium	0.0	0.0007727410000000001	0.0	0.000122697	0.0	0.003598481	1.42e-05	0.000372919	0.000474765	7.41e-05	6.6e-06	0.0	1.2e-05	8.39e-06	0.00027317	0.0	2.2e-05	0.003725599	0.01113742	0.0	0.000687342	2.87e-06	0.000917811	0.000265045	0.0004545280000000001	0.000284885	0.004638117	4.19e-06	0.0	0.001729043	0.0	0.0	1.55e-05	1.83e-05	0.0	0.000112059	8.46e-05	0.001309856	0.0	0.0	0.0	0.0	0.00018695400000000005	0.0	0.001948529	0.0	0.0	0.00031374	0.000393655	0.000444974	0.0	0.000284641	0.0	0.001630985	4.91e-06	7.81e-06	0.000370197	0.0	0.0	0.0	0.00019427	6.21e-05	9.49e-05	0.00011102	0.0
Collinsella	0.0	0.0	0.0	0.0	0.0	8.21e-06	0.0	0.0	0.00017612200000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.120000000000001e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001036155	0.0	0.005257701	0.0	0.0	0.0	0.0	2.0600000000000006e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000212465	0.004214048	0.0	0.0	0.0	0.0	0.0	0.0	4.04e-05	0.0	0.0	4.22e-05
